Name,Category,Latitude,Longitude,Price,Rating,Zipcode,Total,Median income (dollars),Mean income (dollars)
Zanmi,Haitian,40.6579395,-73.9505773,$$,4.5,11225,"24,177","65,200","91,135"
Naked Dog,Italian,40.7312720665479,-73.9593493647979,$$,4.5,11222,"17,941","96,435","122,507"
Red Feather,Asian Fusion,40.72975,-73.99893,$$$,5.0,10012,"12,574","110,490","180,973"
The Hideaway Seaport,Bars,40.7080634,-74.002083,$$,4.0,10038,"10,800","95,640","155,311"
Grimaldi's Pizzeria,Pizza,40.7026459,-73.9932413,$$,3.5,11201,"29,262","139,697","198,854"
Nami Nori,Sushi Bars,40.730284,-74.003212,$$$,4.0,10014,"17,139","136,154","217,624"
Dashi Okume,Japanese,40.724689465644175,-73.9536510868506,,4.0,0,,,
TAGMO,Indian,40.70762,-74.00214,$$,4.5,10038,"10,800","95,640","155,311"
Fan Fried Rice Bar,Taiwanese,40.71267,-73.96082,,4.5,0,,,
Potluck Club,Chinese,40.71952,-73.99333,,4.5,0,,,
Dinner Party,American (New),40.68692,-73.97469,,5.0,0,,,
Oxomoco,Mexican,40.7299099,-73.95548,$$$,4.0,11222,"17,941","96,435","122,507"
Saigon Shack,Vietnamese,40.72969,-74.000629,$$,4.0,10012,"12,574","110,490","180,973"
Kimika,Italian,40.720572,-73.995206,$$$,4.0,10012,"12,574","110,490","180,973"
La Sirène-Soho,French,40.7243642217227,-74.005708694458,$$$,4.5,10013,"12,294","130,675","294,915"
Watermark,Lounges,40.7043789539783,-74.0029934983643,$$,3.5,10038,"10,800","95,640","155,311"
Al Badawi,Middle Eastern,40.69059,-73.99503,$$,4.5,11201,"29,262","139,697","198,854"
Temakase,Sushi Bars,40.729711,-73.987127,,4.5,0,,,
Mission Ceviche,Peruvian,40.7692325,-73.9578759,$$$,4.5,10021,"22,084","130,968","237,726"
Mission Ceviche,Peruvian,40.7692325,-73.9578759,$$$,4.5,10021,"22,084","130,968","237,726"
The Hull,Sports Bars,40.7032842374726,-73.99133599999999,,5.0,0,,,
Francie,American (New),40.71002578663716,-73.96405744314846,$$$$,4.5,11249,,,
Zaytinya - New York,Tapas/Small Plates,40.74549437933232,-73.9889085,,4.0,0,,,
The Smith,American (New),40.755165,-73.967868,$$,4.0,10022,,,
Forsythia,Italian,40.7225353,-73.992492,$$$$,4.5,10002,"33,790","35,607","70,204"
Sam Sunny,Korean,40.74156,-73.97846,,5.0,0,,,
Shukette,Middle Eastern,40.74745,-74.00041,,4.5,0,,,
Bacall's,American (New),40.7576,-73.98693,$$$,4.0,10036,"17,437","97,720","139,050"
Tito Papas,Filipino,40.71739992771893,-73.9493112,,5.0,0,,,
Trapizzino,Italian,40.72043,-73.98894,$$,4.5,10002,"33,790","35,607","70,204"
Barbalu Restaurant,Italian,40.7074747,-74.0020404,$$,4.0,10038,"10,800","95,640","155,311"
Brooklyn BBQ,Barbeque,40.697978,-73.991777,$$,5.0,11201,"29,262","139,697","198,854"
Namkeen,Chicken Shop,40.71285,-73.96248,$$,4.0,11249,,,
Dawn's ‘Til Dusk,Coffee & Tea,40.70336875110399,-73.99042176876897,,5.0,0,,,
Ipanema Restaurant,Brazilian,40.75005,-73.98416,$$,4.0,10018,"4,321","136,360","187,702"
Chef Katsu Brooklyn,Pop-Up Restaurants,40.686813,-73.966352,$$,4.5,11238,"25,443","100,568","136,836"
Omusubi Gonbei,Japanese,40.750701,-73.976961,$,4.5,10017,"9,858","130,417","184,005"
Lindens,American (New),40.72418,-74.00837,,5.0,0,,,
A-Pou's Taste,Taiwanese,40.71326,-73.93616,$,4.5,11211,"40,821","90,871","128,607"
Sun Hing Lung Co,Chinese,40.7127362,-73.9950764600962,$,4.5,10002,"33,790","35,607","70,204"
Excuse My French,Bars,40.718437,-73.989807,$$,4.0,10002,"33,790","35,607","70,204"
Tonchin,Ramen,40.71676616063315,-73.9616957,,4.5,0,,,
Hakata Tonton,Japanese,40.749981,-73.985719,,4.5,0,,,
MayRee,Thai,40.72374,-73.9893,,5.0,0,,,
Olea,Tapas Bars,40.6877844,-73.9706046,$$,4.0,11238,"25,443","100,568","136,836"
Laser Wolf,Middle Eastern,40.72098218304858,-73.95860654260929,$$$,4.5,11249,,,
Despaña Fine Foods & Tapas Cafe,Spanish,40.721094,-73.9978255,$$,4.5,10013,"12,294","130,675","294,915"
El Pingüino,Spanish,40.7298,-73.95978,,5.0,0,,,
Ai Ki Ya,Ramen,40.74873,-73.98705,,4.0,0,,,
Bacàn,Italian,40.715855693840986,-73.96414879999999,,4.0,0,,,
Okiboru House of Tsukemen,Ramen,40.71934,-73.98971,$$,4.5,10002,"33,790","35,607","70,204"
Sofreh,Persian/Iranian,40.6798617,-73.973984,$$$,4.0,11217,"18,627","122,598","182,618"
PALPAL,Korean,40.74568,-73.98466,,4.0,0,,,
Monsieur Vo,Vietnamese,40.72741,-73.98816,,4.5,0,,,
Di An Di,Vietnamese,40.72969,-73.95827,$$,4.0,11222,"17,941","96,435","122,507"
Chiko,Szechuan,40.7319,-73.95422,,4.5,0,,,
1803 Nyc,Cajun/Creole,40.715498,-74.007178,$$,4.0,10007,"2,940","250,000+","409,624"
KJUN,Korean,40.74897,-73.97633,,4.5,0,,,
Au Cheval,Burgers,40.7183878,-74.0015522,$$$,4.5,10013,"12,294","130,675","294,915"
Emily - West Village,Pizza,40.72937501564908,-74.00386306706551,$$,4.0,10014,"17,139","136,154","217,624"
Hometown Bar-B-Que,Barbeque,40.67486,-74.01602,$$,4.0,11231,"15,871","108,525","169,055"
Kora,Filipino,40.751208638548974,-73.95004514604808,,4.5,0,,,
Carmine's Italian Restaurant - Times Square,Italian,40.75749848725768,-73.98665333142026,$$,4.0,10036,"17,437","97,720","139,050"
Pollo D' Oro,Peruvian,40.69506,-73.98339,$$,4.0,11201,"29,262","139,697","198,854"
Gramercy Tavern,American (New),40.73844,-73.98825,$$$$,4.5,10003,"25,158","129,981","211,756"
Tailfeather,Wine Bars,40.69415,-73.96089,$$,4.5,11205,"16,779","62,952","104,376"
Industry Kitchen,American (Traditional),40.7049434740873,-74.0048825740814,$$,3.5,10005,"4,649","184,681","218,441"
Pecking House,Cantonese,40.6796443,-73.97457729999999,,4.0,0,,,
Cafe Habana,Cuban,40.722998,-73.994171,$$,4.0,10012,"12,574","110,490","180,973"
Rim Nam Thai,Thai,40.7033674860089,-73.9868891,,4.5,0,,,
TADA Korean Fried Chicken,Korean,40.71564775485656,-73.99808697776591,$$,4.5,10013,"12,294","130,675","294,915"
Otis,American (New),40.706011,-73.932598,$$$,5.0,11206,"31,489","43,065","70,179"
Lilia,Italian,40.71757,-73.95236,$$$,4.0,11211,"40,821","90,871","128,607"
San Marzano Pasta Fresca,Italian,40.727966,-73.988382,$$,4.0,10003,"25,158","129,981","211,756"
Mint Heights,Indian,40.699657772028765,-73.99217437260721,,4.5,0,,,
Mezcali,Tacos,40.70745,-74.00748,$$,4.0,10038,"10,800","95,640","155,311"
James Provisions,American (New),40.678984,-73.971489,$$$,3.5,11238,"25,443","100,568","136,836"
Fishmarket II,Malaysian,40.72835,-73.98204,,5.0,0,,,
Recette,French,40.71326399774355,-73.95637202012806,,4.5,0,,,
Bea,American (New),40.7591968,-73.9923361,$$,4.0,10036,"17,437","97,720","139,050"
Marlow & Sons,American (New),40.7106126934043,-73.9658814005443,$$$,4.0,11249,,,
Les Enfants de Boheme,French,40.7136187,-73.9888503,$$,4.5,10002,"33,790","35,607","70,204"
Dudley's,Cafes,40.71798,-73.99042,$$,4.0,10002,"33,790","35,607","70,204"
shabushabu Mayumon,Japanese,40.71434,-73.99205,,4.5,0,,,
Betty,American (New),40.71367,-73.98785,,5.0,0,,,
YunShang Rice Noodle House,Chinese,40.71525,-73.99765,$$,4.0,10013,"12,294","130,675","294,915"
Tokuyamatcha & Onigirazu Bar,Coffee & Tea,40.72399,-73.9802,$,4.5,10009,"29,356","68,220","108,017"
The Fulton by Jean-Georges,Seafood,40.705585,-74.001736,$$$,3.5,10038,"10,800","95,640","155,311"
Supper,Italian,40.72290786539601,-73.98520720537888,$$,4.0,10009,"29,356","68,220","108,017"
Sagaponack,Bars,40.740937,-73.99081,$$,4.5,10010,"16,499","139,188","214,151"
Traif,American (New),40.710658,-73.958872,$$$$,4.5,11211,"40,821","90,871","128,607"
Ugly Baby,Thai,40.67795,-73.9961,$$$,4.5,11231,"15,871","108,525","169,055"
Chote Miya,Indian,40.7034194804375,-73.9916073158383,,4.0,0,,,
Henry's End,American (New),40.6987126,-73.99263839731027,$$$,4.0,11201,"29,262","139,697","198,854"
53 NYC,Asian Fusion,40.76179318437133,-73.9780863,,4.5,0,,,
Le Crocodile,French,40.72191,-73.957873,,4.5,0,,,
Steam - Shanghai Asian Fusion,Dim Sum,40.735570389859696,-73.997784032187,,5.0,0,,,
Parker & Quinn,American (New),40.752598878505694,-73.9850713153442,$$,4.0,10018,"4,321","136,360","187,702"
OBAO,Vietnamese,40.7606544,-73.991332,$$,4.0,10036,"17,437","97,720","139,050"
La Pecora Bianca,Mediterranean,40.72346,-73.9963118,,4.0,0,,,
Pig and Khao,Filipino,40.71926,-73.98475,$$$,4.0,10002,"33,790","35,607","70,204"
OTB,American (New),40.710484,-73.963408,$$,4.5,11211,"40,821","90,871","128,607"
Barbalu - Brooklyn,Italian,40.68675727907743,-73.99101547782092,,4.5,0,,,
Tutt  Heights,Middle Eastern,40.70021198326452,-73.99331599999907,$,4.0,11201,"29,262","139,697","198,854"
Kaoru,Japanese,40.75202,-73.96977,$$,4.5,10017,"9,858","130,417","184,005"
Wan Wan,Thai,40.7218,-73.99643,,4.5,0,,,
Five Senses,Korean,40.747573158626,-73.9863122632311,$$,4.0,10001,,,
Ruby's Cafe,Burgers,40.7223288,-73.996326,$$,4.0,10012,"12,574","110,490","180,973"
Alta,Tapas Bars,40.7345163811398,-73.9983369619683,$$$,4.0,10011,"28,775","136,208","210,553"
Top Thai Vintage,Thai,40.729907419973344,-74.00421380395268,$$,4.5,10014,"17,139","136,154","217,624"
nonono,Izakaya,40.74545,-73.98499,$$$,4.0,10016,"29,005","124,647","181,643"
Sama Street,Cocktail Bars,40.7328843,-73.9545232327229,$$,4.5,11222,"17,941","96,435","122,507"
Da Long Yi Hot Pot,Hot Pot,40.716557,-73.996583,$$$,4.5,10013,"12,294","130,675","294,915"
The Smith,American (New),40.74424,-73.98878,$$$,4.0,10010,"16,499","139,188","214,151"
Mao Mao,Thai,40.69583,-73.933508,$$,4.0,11221,"33,067","65,548","88,596"
Tsurutontan Udon Noodle Brasserie,Japanese,40.73678,-73.9910699,$$,4.0,10003,"25,158","129,981","211,756"
Clinton Street Baking Company,Bakeries,40.721128,-73.983933,$$,4.0,10002,"33,790","35,607","70,204"
Curry House,Malaysian,40.7147043540403,-73.99770502336152,,4.5,0,,,
Tara Rose,Cocktail Bars,40.74179566099217,-73.9812332883433,$$,4.5,10016,"29,005","124,647","181,643"
